,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
78,Corey Brewer,SF,32,PHI,7,3,140,6.7,16.5,.408,1.3,4.7,.286,5.4,11.8,.457,3.0,4.4,.692,1.3,4.4,5.7,3.4,4.0,0.7,2.7,5.4,17.9,,96,106,https://www.basketball-reference.com/players/b/breweco01.html
79,Corey Brewer,SF,32,SAC,24,0,352,4.4,9.8,.446,1.3,4.0,.333,3.0,5.8,.523,2.9,4.0,.733,2.9,4.9,7.8,3.8,2.6,0.7,1.5,6.2,13.0,,121,110,https://www.basketball-reference.com/players/b/breweco01.html
80,Mikal Bridges,SF,22,PHO,82,56,2417,4.8,11.1,.430,2.1,6.2,.335,2.7,4.9,.548,1.9,2.3,.805,1.1,4.1,5.2,3.4,2.5,0.8,1.4,4.0,13.5,,112,115,https://www.basketball-reference.com/players/b/bridgmi01.html
81,Miles Bridges,SF,20,CHO,80,25,1696,6.8,14.7,.464,1.9,5.7,.325,4.9,8.9,.553,1.7,2.2,.753,1.9,7.3,9.3,2.7,1.6,1.4,1.4,3.2,17.1,,111,112,https://www.basketball-reference.com/players/b/bridgmi02.html
82,Isaiah Briscoe,PG,22,ORL,39,0,559,4.8,12.1,.399,1.0,3.0,.324,3.9,9.1,.423,1.3,2.3,.577,0.4,6.0,6.5,7.6,1.0,0.2,2.7,5.8,11.9,,96,111,https://www.basketball-reference.com/players/b/briscis01.html
83,Ryan Broekhoff,SG,28,DAL,42,0,453,6.1,13.5,.452,4.1,10.0,.409,2.0,3.5,.576,1.6,2.0,.789,0.9,5.9,6.7,2.4,0.6,0.4,1.7,3.7,17.9,,116,114,https://www.basketball-reference.com/players/b/broekry01.html
84,Malcolm Brogdon,SG,26,MIL,64,64,1832,9.6,19.0,.505,2.6,6.2,.426,7.0,12.8,.544,3.6,3.9,.928,1.6,5.7,7.3,5.2,1.2,0.3,2.3,2.6,25.4,,121,108,https://www.basketball-reference.com/players/b/brogdma01.html
85,Dillon Brooks,SF,23,MEM,18,0,330,7.4,18.4,.402,2.3,6.0,.375,5.1,12.3,.415,3.3,4.5,.733,1.4,3.3,4.7,2.4,1.5,0.6,2.9,7.5,20.3,,94,112,https://www.basketball-reference.com/players/b/brookdi01.html
86,MarShon Brooks,SG,30,MEM,29,0,387,9.8,21.7,.450,1.9,6.9,.278,7.8,14.8,.530,3.0,4.2,.697,1.5,4.2,5.8,3.2,1.2,0.5,2.7,4.2,24.4,,98,113,https://www.basketball-reference.com/players/b/brookma01.html
87,Bruce Brown,SG,22,DET,74,56,1449,4.3,10.7,.398,0.8,3.2,.258,3.4,7.5,.457,1.5,2.0,.750,1.6,4.7,6.3,3.1,1.4,1.2,1.6,6.1,10.9,,100,110,https://www.basketball-reference.com/players/b/brownbr01.html
88,Jaylen Brown,SG,22,BOS,74,25,1913,9.3,19.9,.465,2.4,6.9,.344,6.9,13.0,.529,3.3,5.1,.658,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,,104,109,https://www.basketball-reference.com/players/b/brownja02.html
89,Lorenzo Brown,PG,28,TOR,26,0,212,5.2,16.1,.324,1.4,6.3,.214,3.8,9.7,.395,0.7,0.7,1.000,1.1,5.9,7.0,6.3,2.7,1.1,3.6,5.0,12.4,,82,105,https://www.basketball-reference.com/players/b/brownlo01.html
90,Sterling Brown,SG,23,MIL,58,7,1034,6.5,14.0,.465,2.4,6.6,.361,4.1,7.4,.558,1.3,1.9,.690,1.3,7.0,8.3,3.8,1.1,0.4,2.1,4.0,16.7,,109,108,https://www.basketball-reference.com/players/b/brownst02.html
