Player,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m
Antonio Blakeney,48.19,82.58,14.65,2.27,0.51,0.382,0.552,1,62.2,25.84,11.96
PJ Tucker,91.3,82.98,14.91,0.57,1.53,0.376,0.462,1,20.3,72.88,6.82
Doug McDermott,95.17,68.56,26.71,4.26,0.47,0.414,0.611,0.889,43.62,44.68,11.7
Dirk Nowitzki,90.15,98.65,0.81,0.54,0,0.351,0.667,1,37.91,51.92,10.16
Vince Carter,79.17,82.1,12.88,3.28,1.75,0.386,0.492,0.867,26.42,64.95,8.62
Justin Jackson,85.19,80.83,17.08,1.04,1.04,0.379,0.732,1,44.41,44.92,10.67
Willy Hernangomez,69.28,37.16,40.54,9.12,13.18,0.436,0.533,0.889,65.56,10.69,23.75
Lance Stephenson,50.28,72,25.18,1.41,1.41,0.369,0.551,0.833,45.04,44.63,10.33
Luol Deng,71.19,61.86,28.81,4.24,5.08,0.37,0.706,0.8,57.32,26.75,15.92
Joakim Noah,73.64,25.35,44.6,20.19,9.86,0.259,0.495,0.907,73.83,0,26.17
